type|url|main_title|episodes|start_date|end_date|description|rating|number_of_ratings|runtime|image|aid
TV Special|https://anidb.net/anime/9458|Lupin Sansei: Touhou Kenbunroku - Another Page|1|2012-11-02|2012-11-02|http://anidb.net/ch7622 [Lupin] has become a suspect in the murder of a professor named http://anidb.net/ch65667 [Theo Argento]. The professor had just discovered the missing page of Marco Polo`s Record of Observations of the East travel journal. As Lupin is being pursued by the police, he ends up getting unlikely help from the granddaughter of Theo Argento, http://anidb.net/ch50338 [Lisa].Source: ANN|6.76|149|95|https://cdn-us.anidb.net/images/main/135540.jpg|-1
Movie|https://anidb.net/anime/12250|Sun Wukong: Dazhan Huoyanshan|1|null|null|null|-1.0|-1|-1|null|-1
Movie|https://anidb.net/anime/9000|Gekijouban Hakuouki|2|2013-08-24|2014-03-08|null|-1.0|-1|-1|null|-1
OVA|https://anidb.net/anime/10628|Imawa no Kuni no Alice|3|2014-10-17|2015-02-16|The story follows a high school boy named http://anidb.net/ch68014 [Arisu] and other youths who are transported to a devastated alternate world. Trapped, they are forced to play a deadly game of survival.Source: ANNNote: Bundled with the limited edition packages of the manga`s 12th, 13th, and 14th compiled volumes.|6.29|275|25|https://cdn-us.anidb.net/images/main/164172.jpg|-1
TV Series|https://anidb.net/anime/6671|Durarara!!|24|2010-01-08|2010-06-25|* Based on a light novel series written by http://anidb.net/cr6455 [Narita Ryougo] and illustrations by http://anidb.net/cr6889 [Yasuda Suzuhito].http://anidb.net/ch12150 [Ryuugamine Mikado] had always wanted to live the busy city life, and his dream becomes a reality when he moves to Ikebukuro, Tokyo to attend school with a childhood friend he had not seen in years, http://anidb.net/ch12151 [Kida Masaomi]. Upon Mikado`s arrival, Masaomi warns him about relevant people to never cross in the city, such as http://anidb.net/ch12152 [Heiwajima Shizuo], a violently short-tempered and ridiculously strong man in a bartender suit; http://anidb.net/ch12153 [Orihara Izaya], a dangerously well-informed information broker; and a mysterious gang known as the http://anidb.net/ch14864 [Dollars]. Mikado does not take long to find that, those clearly dangerous people aside, Ikebukuro is home to many more mysteries, such as a female biker who is known as the http://anidb.net/ch12149 [Black Rider] over riding around town clad in black on a black motorcycle that occasionally neighs like a horse, and who is also rumoured to have no head under her helmet.— written by Hinoe|8.03|7134|25|https://cdn-us.anidb.net/images/main/36882.jpg|-1
OVA|https://anidb.net/anime/8773|Game Tengoku|1|1997-06-06|1997-06-06|Note: Sold with the limited edition of the Sega Saturn release of the Game Tengoku game.|2.65|7|15|https://cdn-us.anidb.net/images/main/75591.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
TV Series|https://anidb.net/anime/5970|Strike Witches (2008)|12|2008-07-04|2008-09-19|It was the year 1939 when the Neuroi appeared. Nobody knows where they came from or what their ultimate agenda is, but the fact remains that their attacks drove people out of their towns and cities.In order to take arms against them, humanity develops a new anti-Neuroi weapon called the Striker Unit. Using the power of magic to fight against the monsters, this new device enhances and amplifies the power of female magic-wielders. To use this device, young witches from all over the world have been brought together to form an elite task force unit called the http://anidb.net/ch19414 [501st Joint Fighter Wing], commonly known as the Strike Witches.Source: ANN|4.72|2608|25|https://cdn-us.anidb.net/images/main/9879.jpg|-1
TV Series|https://anidb.net/anime/4116|Sasami: Mahou Shoujo Club|13|2006-04-13|2006-07-13|* Sasami, who gained popularity as the cutest character in the hit series "Tenchi Muyo", is now the star of her own series "Sasami".The main character in this series, http://anidb.net/ch38490 [Sasami], is a young girl who was born with magical powers. She made a promise to http://anidb.net/ch38497 [her father] to keep these magical powers a secret, and has not told anyone about them. Sasami is always cheerful and has many friends. One day she happens to join the cooking club at school with http://anidb.net/ch38491 [Misao], the new girl who does not fit in with her classmates and seems to be lonely. The new teacher in charge of the cooking club is http://anidb.net/ch9734 [Ms. Washuu], and it turns out the club is actually the "Magical Girls Club". By joining the club, the fate of Sasami and that of her friends changes dramatically!|4.02|175|25|https://cdn-us.anidb.net/images/main/233414.jpg|-1
Movie|https://anidb.net/anime/4055|Momotarou: Umi no Shinpei|1|1945-04-12|1945-04-12|Black & White.Second animation movie of Japan history.|3.55|126|75|https://cdn-us.anidb.net/images/main/164006.jpg|-1
TV Series|https://anidb.net/anime/4052|Kuma no Puutarou|30|1995-04-26|1996-03-29|Comedy involving a loud-mouthed bear, a rabbit with a tendency to fall in love with everything in sight and a monkey with a microphone.Paraphrased from http://forums.toonzone.net/showthread.php?t=67146|3.55|3|25|https://cdn-us.anidb.net/images/main/5672.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
OVA|https://anidb.net/anime/1657|Devilman: Tanjou Hen|1|1987-11-01|1987-11-01|http://anidb.net/ch7693 [Akira] is just another normal kid in modern-day Tokyo, until an old friend of his, http://anidb.net/ch7694 [Ryou], shows up and turns his world upside down. Akira learns that there is an upcoming war of demons on humanity and he has just been enlisted for a major tour of duty. But the only way to fight a demon is with their power, so Akira and Ryou risk a dangerous ceremony in an attempt to create humanity`s only hope — the powerful http://anidb.net/ch7692 [Devilman].Source: AnimeAcademy.com|5.72|602|50|https://cdn-us.anidb.net/images/main/31835.jpg|-1
Movie|https://anidb.net/anime/2627|Blue Remains|1|2001-08-22|2001-08-22|Many nuclear explosion which covers surface of the earth met the spaceship which finished planets exploration and has returned to the earth in A.D.2062. The spaceship crash-lands on the seabed of Okinawa adjoining seas, in order to avoid radioactive contamination. A scientist couple RYU and YURI entrusted reproduction of the earth environment to their young daughter AMAMIKU, gave freezing sleep and entrusted future affairs to a super-computer and a robot.The human beings who survived slightly abandoned the polluted ground 90 years after, and it was obliged to the life in a submarine city, it was on the verge of extinction with attacks of the uncontrolled neuron computer.The story starts moving greatly taking advantage of the human patrol during the submarine probe having protected AMAMIKU. AMAMIKU on which the duty for reproducing a life on the ground was imposed fights against the enemy with the friends who were able to encounter finally in being solitary.This is a 3DCG marine adventure animated movie describing the last fight which risked fate of human beings. BLUE REMAINS was depicted with the latest 3D computer graphics technologies and was reproduced the inside stage of the sea realistically and fantastically.BLUE REMAINS is a work which asks the environmental problems and existence of human beings.|1.89|42|-1|null|-1
Movie|https://anidb.net/anime/9088|Rakuen Tsuihou|1|2014-11-15|2014-11-15|http://anidb.net/ch60063 [Angela], a girl in her twenties, was raised in a Matrix-like computer system on a space station orbiting a post-apocalyptic Earth. But after a hacker from the devastated planet below breaks into the system, she is tasked with finding and stopping the hacker in the real world. To do this, she is transferred into a clone body, given a mech, and told to meet up with an agent living on Earth named http://anidb.net/ch60062 [Dingo]. Thus begins her fish-out-of-water tale as she not only finds herself in a strange land she knows nothing about but also has to deal with a life trapped in a body that, unlike her digital one, requires food and rest. Together, Dingo and Angela travel across the frontier-like ruined Earth, trying to solve the mystery of the hacker`s identity and his true goals.|6.38|1202|-1|null|-1
OVA|https://anidb.net/anime/7854|Hello Kitty no Sanbiki no Kobuta|1|2001-12-21|2001-12-21|null|-1.0|-1|-1|null|-1
Movie|https://anidb.net/anime/3044|Oval X Over|1|2005-03-23|2005-03-23|Oval X Over was produced to promote the IRL - Bridgestone Indy Japan 300 on April 30th, 2005 and was premiered at the Indy Japan 300 festival in Roppongi Hills on March 23rd.|4.25|62|5|https://cdn-us.anidb.net/images/main/4245.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
TV Special|https://anidb.net/anime/2295|Nodoka Mori no Doubutsu Daisakusen|1|1980-02-03|1980-02-03|* Based on the book Jakobus Nimmersatt, oder Pfoten weg vom Donnerwald by http://anidb.net/cr11170 [Boy Lornsen].With Peter the fairy as chairman, the animals of Placid Forest gather in a meeting to discuss the villagers` plan to cut down all the trees in the forest. They decide to stage a protest in the hope of preserving the woods, but the greedy men will not listen to their warning. The animals are forced to carry out one final operation.Source: nipponanimation.com/catalogue/031/See also: pelleas.net/dbman/db.cgi?db=wmt&uid=default&ID=151&view_records=1|3.65|18|70|https://cdn-us.anidb.net/images/main/3240.jpg|-1
OVA|https://anidb.net/anime/3998|Soukou Kihei Votoms: Kakuyaku taru Itan|5|1994-03-21|1994-12-01|http://anidb.net/ch15676 [Chirico] is awoken from cold sleep and separated from http://anidb.net/ch40573 [Fyana]. His attempts to find her come to the attention of a Nextant, the replacement for the Perfect Soldier program. At the same time, the new Pope is to be nominated, and Chirico is religiously considered to be The Untouchable. With one of the nominees related to the Nextant, Chirico`s actions will have far-reaching political ramifications.Source: ANN|6.67|203|30|https://cdn-us.anidb.net/images/main/237006.jpg|-1
TV Series|https://anidb.net/anime/8295|Jewelpet Sunshine|52|2011-04-09|2012-03-31|* Jewelpet is a toy line created in January 2008 as a joint venture between Sanrio and the toy division of video game giant Sega.Sunshine Academy is a boarding school in the Jewel Land. Students from the human world and the Jewel Land study together there. The Jewelpet http://anidb.net/ch18426 [Ruby] is a third grader and she is in "Class Plum," which is also known as the class of losers. However, Ruby, who is cheerful and positive, enjoys her school life with her friends though she always quarrels with her roommate http://anidb.net/ch29423 [Kanon]. The goal of every student at Sunshine Academy is to graduate, but they can`t really envision their dreams for the future. Will Ruby and her friends be able to find their dreams before they graduate?|4.02|34|25|https://cdn-us.anidb.net/images/main/68913.jpg|-1
TV Series|https://anidb.net/anime/4146|Zero no Tsukaima|13|2006-07-03|2006-09-25|http://anidb.net/ch306 [Louise Valliere] is a second-year student at the esteemed Magic Academy High School, but all of her classmates call her `Zero Louise`. While no one doubts her magic ability, it is just that all of the spells that she casts go wrong, usually with disastrous and explosive results. Rumour has it that none of the spells that she tried to cast have ever gone as expected, which is how she picked up her nickname — Zero.One of the most important second-year student rituals is the summoning of a familiar. A familiar once summoned will stay with the magician for rest of their life. A mage`s magical familiar can appear in the form of any creature — as small as a mouse, as a fearsome fire salamander, and perhaps even as a dragon for an exceptional mage. True to form, Louise`s familiar summoning spell goes very wrong and pulls http://anidb.net/ch4052 [Hiraga Saito] from his life as a high school student in Japan into the magic world. The ritual is sacred and once started, cannot be changed, so Louise accepts her fate and gives Saito a kiss (on the lips) to seal their bond. The other students take delight in teasing Zero Louise at having summoned an ordinary commoner as a familiar, but they have forgotten that familiars are magical creatures and by their nature — are never ordinary or common.|6.31|8885|1|https://cdn-us.anidb.net/images/main/221876.jpg|-1
TV Series|https://anidb.net/anime/7451|Unko-san: Tsuiteru Hito ni Shika Mienai Yousei|13|2009-04-27|2009-07-20|null|-1.0|-1|-1|null|-1
Web|https://anidb.net/anime/12363|Yume Oukoku to Nemureru 100 Nin no Ouji-sama: Short Stories|10|2017-03-25|2017-12-23|A heroine who lived her every day one way or another is one day, suddenly lured into a different world. That world is the "Dream World" where dreams are people`s life source. The heroine is the princess of this "Dream World".The "Dream World" is currently being threatened by monsters that devour dreams called the "dream eaters" (yumekui). People deprived of their dreams, drifting in a sleep they can`t wake up from. Many princes whose dreams were also stolen. A world heading towards destruction...While becoming confused and sometimes almost disheartened, the heroine awakens the sleeping princes and recovers the dream world with them. Forgotten dreams, lost dreams, hidden dreams inside one`s heart... They will certainly be of help to someone.Source: yume100.wikia.com|2.85|15|1|https://cdn-us.anidb.net/images/main/201131.jpg|-1
TV Series|https://anidb.net/anime/1238|Cutey Honey Flash|39|1997-02-15|1998-01-31|On her sixteenth birthday, http://anidb.net/ch43054 [Kisaragi Honey] goes to meet her father. However, he shows up injured and on the run. Out of nowhere, a group of thugs and a monster show up. A detective, http://anidb.net/ch43055 [Hayama Seiji], rescues Honey and her father. Unfortunately, the monster captures Honey`s father. A grieving Honey goes home to find it in ruins, but a handsome man gives her hope and a device to use against the monsters who took her father. With them, Honey can transform into multiple forms and destroy http://anidb.net/ch43063 [Panther Zora], the evil behind this.Source: AnimeNfo|4.85|142|25|https://cdn-us.anidb.net/images/main/83732.jpg|-1
TV Special|https://anidb.net/anime/7346|Hajimete no Christmas|1|1983-12-24|1983-12-24|null|-1.0|-1|-1|null|-1
TV Series|https://anidb.net/anime/5549|Shigofumi|12|2008-01-06|2008-03-23|* Based on a light novel series by Amamiya Ryo, illustrated by Poko.http://anidb.net/ch7106 [Fumika] is a girl with a job as a Shigofumi. This requires her to deliver letters from the dead; the last resort of relaying a deceased person`s last message to his/her loved ones: family, friends or significant other. Together with her talking staff, http://anidb.net/ch11290 [Kanaka], she crosses the boundaries between the world of the living and the world of the dead in order to deliver the letters. But at some point, during a delivery, she gets seen by an old classmate who recognizes her. He then starts investigating what happened to her after she vanished from his class and why she is delivering letters from the dead.|7.1|2808|2|https://cdn-us.anidb.net/images/main/229715.jpg|-1
TV Series|https://anidb.net/anime/9837|Nanami-chan 4th Series|16|2007-06-01|2007-09-14|null|-1.0|-1|-1|null|-1
OVA|https://anidb.net/anime/1128|Darling|3|2003-02-18|2003-06-27|http://anidb.net/ch64636 [Jun] is a comic artist who is never afraid to put in a hard day of work. Naturally, he authors pornographic comics. He`s been given a monumental deadline, but he has a special power allowing him to work at hyper speed as long as he is aroused. Lucky for him, his assistant http://anidb.net/ch64635 [Miyuki] is also his wife and she`s ready to give him a hand with work.|5.09|780|30|https://cdn-us.anidb.net/images/main/199876.jpg|-1
TV Series|https://anidb.net/anime/11048|Jitsu wa Watashi wa|13|2015-07-07|2015-09-29|http://anidb.net/ch74470 [Kuromine Asahi], who is unable to lie, found out that his crush, http://anidb.net/ch73943 [Shiragami Youko], is actually a vampire. However, she will be forced to quit school if she is found out, and so he promises to keep her secret. But will he actually be able to keep a secret for once?|4.52|1309|25|https://cdn-us.anidb.net/images/main/173380.jpg|-1
Movie|https://anidb.net/anime/11387|Chocolate Underground: Bokura no Chocolate Sensou|1|2009-01-31|2009-01-31|The previously announced Chocolate Underground anime adaptation of Alex Shearer`s Bootleg novel will be heading to Japanese theaters this January. The satirical novel follows two English boys who create a bootleg chocolate factory after their country bans chocolate. The theatrical version will add 20 minutes of new footage and present the entire project in widescreen format.Source: ANN|3.62|5|90|https://cdn-us.anidb.net/images/main/238114.jpg|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
null|null|null|-1|null|null|null|-1.0|-1|-1|null|-1
